Stkcd,Stknme,Type,Suspdate,Resmdate
13,*ST 石化A,1,2/18/2003,2/19/2003
13,*ST 石化A,1,3/5/2003,3/5/2003
13,*ST 石化A,1,4/25/2003,4/25/2003
13,*ST 石化A,1,4/30/2003,4/30/2003
13,*ST 石化A,1,5/15/2003,5/15/2003
13,*ST 石化A,1,5/30/2003,5/30/2003
13,*ST 石化A,1,6/13/2003,6/13/2003
13,*ST 石化A,1,6/18/2003,6/18/2003
13,*ST 石化A,1,6/27/2003,6/30/2003
13,*ST 石化A,1,8/27/2003,8/27/2003
13,*ST 石化A,1,9/11/2003,9/11/2003
13,*ST 石化A,1,9/25/2003,9/25/2003
13,*ST 石化A,1,10/17/2003,10/17/2003
13,*ST 石化A,1,10/30/2003,10/30/2003
13,*ST 石化A,1,10/31/2003,10/31/2003
13,*ST 石化A,1,11/6/2003,11/6/2003
13,*ST 石化A,1,11/13/2003,11/13/2003
13,*ST 石化A,1,11/27/2003,11/27/2003
13,*ST 石化A,1,12/16/2003,12/16/2003
13,*ST 石化A,1,12/18/2003,12/18/2003
13,*ST 石化A,1,12/19/2003,12/19/2003
13,*ST 石化A,1,12/24/2003,12/24/2003
13,*ST 石化A,1,12/26/2003,12/26/2003
13,*ST 石化A,1,12/31/2003,12/31/2003
13,*ST 石化A,1,1/15/2004,1/15/2004
13,*ST 石化A,1,2/6/2004,2/6/2004
13,*ST 石化A,1,2/9/2004,2/10/2004
13,*ST 石化A,1,2/13/2004,2/13/2004
13,*ST 石化A,1,3/4/2004,3/4/2004
13,*ST 石化A,1,4/9/2004,4/9/2004
13,*ST 石化A,1,4/14/2004,4/14/2004
13,*ST 石化A,1,4/22/2004,4/22/2004
13,*ST 石化A,1,4/27/2004,4/27/2004
13,*ST 石化A,1,4/29/2004,9/20/2004
13,*ST 石化A,2,9/20/2004,
47,ST 中侨,1,4/30/2002,5/30/2003
47,ST 中侨,2,5/30/2003,
48,ST 康达尔,1,4/24/2003,4/24/2003
48,ST 康达尔,1,5/28/2003,5/28/2003
48,ST 康达尔,1,5/30/2003,5/30/2003
48,ST 康达尔,1,6/2/2003,6/2/2003
48,ST 康达尔,1,6/3/2003,6/4/2003
48,ST 康达尔,1,6/4/2003,6/4/2003
48,ST 康达尔,1,6/30/2003,7/1/2003
48,ST 康达尔,1,7/29/2003,7/29/2003
48,ST 康达尔,1,8/14/2003,8/14/2003
48,ST 康达尔,1,8/28/2003,8/28/2003
48,ST 康达尔,1,10/30/2003,10/30/2003
48,ST 康达尔,1,12/23/2003,12/23/2003
48,ST 康达尔,1,4/23/2004,4/23/2004
48,ST 康达尔,1,4/29/2004,4/29/2004
48,ST 康达尔,1,6/18/2004,6/21/2004
48,ST 康达尔,1,7/28/2004,7/28/2004
48,ST 康达尔,1,9/21/2004,9/21/2004
48,ST 康达尔,1,10/25/2004,10/26/2004
48,ST 康达尔,1,4/13/2005,4/13/2005
48,ST 康达尔,1,4/28/2005,4/28/2005
48,ST 康达尔,1,5/12/2005,5/13/2005
48,康达尔A,1,6/28/2005,6/29/2005
48,康达尔A,1,12/19/2005,12/28/2005
48,康达尔A,1,12/28/2005,12/29/2005
48,康达尔A,1,1/4/2006,1/5/2006
48,康达尔A,1,1/12/2006,2/14/2006
48,康达尔A,1,1/20/2006,1/23/2006
48,G 康达尔,1,6/30/2006,7/3/2006
48,康达尔A,1,1/25/2007,1/25/2007
48,康达尔A,1,3/16/2007,3/19/2007
48,康达尔A,1,3/19/2007,3/19/2007
48,*ST 康达,1,4/19/2007,4/19/2007
48,*ST 康达,1,4/25/2007,4/26/2007
48,*ST 康达,1,5/8/2007,5/8/2007
48,*ST 康达,1,5/15/2007,5/15/2007
48,*ST 康达,1,5/22/2007,6/1/2007
48,*ST 康达,1,6/1/2007,6/1/2007
48,*ST 康达,1,6/6/2007,6/6/2007
48,*ST 康达,1,6/8/2007,6/8/2007
48,*ST 康达,1,6/13/2007,6/13/2007
48,*ST 康达,1,6/27/2007,6/27/2007
48,*ST 康达,1,6/28/2007,6/29/2007
48,*ST 康达,1,8/24/2007,8/24/2007
48,*ST 康达,1,10/18/2007,10/18/2007
48,*ST 康达,1,1/31/2008,1/31/2008
48,*ST 康达,1,4/29/2008,4/29/2008
48,*ST 康达,1,5/19/2008,5/20/2008
48,ST 康达尔,1,6/27/2008,6/30/2008
48,ST 康达尔,1,7/30/2008,7/30/2008
48,ST 康达尔,1,8/13/2008,8/13/2008
48,ST 康达尔,1,6/26/2009,6/29/2009
48,ST 康达尔,1,10/16/2009,10/19/2009
48,ST 康达尔,1,12/9/2009,12/10/2009
48,ST 康达尔,1,6/28/2010,6/29/2010
48,ST 康达尔,1,7/2/2010,7/2/2010
48,ST 康达尔,1,12/10/2010,12/13/2010
48,ST 康达尔,1,3/3/2011,3/3/2011
48,ST 康达尔,1,5/6/2011,5/6/2011
48,ST 康达尔,1,5/26/2011,5/26/2011
48,ST 康达尔,1,6/29/2011,6/30/2011
48,ST 康达尔,1,7/13/2011,7/13/2011
48,ST 康达尔,1,12/1/2011,12/2/2011
48,ST 康达尔,1,12/28/2011,12/29/2011
48,ST 康达尔,1,4/26/2012,4/27/2012
48,ST 康达尔,1,5/30/2012,5/31/2012
48,康达尔,1,6/28/2012,6/29/2012
48,康达尔,1,11/22/2013,11/29/2013
48,康达尔,1,7/8/2015,7/15/2015
48,康达尔,1,8/7/2015,8/12/2015
48,康达尔,1,9/8/2015,12/8/2015
48,康达尔,1,6/20/2016,6/22/2016
48,康达尔,1,12/1/2016,3/1/2017
48,康达尔,1,5/2/2018,6/29/2018
48,康达尔,1,6/29/2018,7/2/2018
48,*ST 康达,1,8/31/2018,9/3/2018
48,*ST 康达,1,11/21/2018,11/26/2018
405,ST 鑫光,1,1/2/2003,1/3/2003
405,ST 鑫光,1,1/3/2003,1/3/2003
405,ST 鑫光,1,1/8/2003,1/8/2003
405,ST 鑫光,1,2/12/2003,2/12/2003
405,ST 鑫光,1,2/13/2003,2/13/2003
405,ST 鑫光,1,3/5/2003,3/5/2003
405,ST 鑫光,1,3/6/2003,3/6/2003
405,ST 鑫光,1,4/2/2003,4/2/2003
405,ST 鑫光,1,4/3/2003,4/3/2003
405,ST 鑫光,3,4/30/2003,3/19/2004
405,ST 鑫光,2,3/19/2004,
409,*ST 四通,1,3/31/2003,4/1/2003
409,*ST 四通,1,4/21/2003,4/21/2003
409,*ST 四通,1,5/9/2003,5/12/2003
409,*ST 四通,1,5/14/2003,5/14/2003
409,*ST 四通,1,5/20/2003,5/20/2003
409,*ST 四通,1,6/13/2003,6/13/2003
409,*ST 四通,1,7/3/2003,7/3/2003
409,*ST 四通,1,7/16/2003,7/17/2003
409,*ST 四通,1,8/5/2003,8/5/2003
409,*ST 四通,1,8/28/2003,8/28/2003
409,*ST 四通,1,10/30/2003,10/30/2003
409,*ST 四通,1,11/26/2003,11/26/2003
409,*ST 四通,1,12/23/2003,12/23/2003
409,*ST 四通,1,12/30/2003,12/31/2003
409,*ST 四通,1,1/2/2004,1/2/2004
409,*ST 四通,1,1/8/2004,1/8/2004
409,*ST 四通,1,2/3/2004,2/3/2004
409,*ST 四通,1,3/3/2004,3/4/2004
409,*ST 四通,1,3/4/2004,3/4/2004
409,*ST 四通,1,3/9/2004,3/9/2004
409,*ST 四通,1,3/12/2004,3/15/2004
409,*ST 四通,1,4/19/2004,4/20/2004
409,*ST 四通,1,4/20/2004,4/20/2004
409,*ST 四通,1,4/30/2004,5/30/2005
409,*ST 四通,1,6/3/2005,6/3/2005
409,*ST 四通,1,6/28/2005,6/29/2005
409,*ST 四通,1,7/4/2005,7/4/2005
409,*ST 四通,1,7/12/2005,7/12/2005
409,*ST 四通,1,7/15/2005,7/15/2005
409,*ST 四通,1,7/20/2005,7/20/2005
409,*ST 四通,1,8/11/2005,8/11/2005
409,*ST 四通,1,8/25/2005,8/25/2005
409,*ST 四通,1,8/30/2005,8/30/2005
409,*ST 四通,1,9/2/2005,9/2/2005
409,*ST 四通,1,9/15/2005,9/15/2005
409,*ST 四通,1,9/20/2005,9/20/2005
409,*ST 四通,1,9/26/2005,9/26/2005
409,*ST 四通,1,9/29/2005,9/29/2005
409,*ST 四通,1,11/1/2005,11/1/2005
409,*ST 四通,1,1/4/2006,1/5/2006
409,*ST 四通,1,1/25/2006,1/25/2006
409,*ST 四通,1,3/15/2006,3/15/2006
409,*ST 四通,1,4/11/2006,4/11/2006
409,*ST 四通,1,5/8/2006,5/8/2006
409,*ST 四通,1,5/18/2006,5/18/2006
409,*ST 四通,1,5/23/2006,5/23/2006
409,*ST 四通,1,5/29/2006,6/12/2006
409,ST 四通,1,6/15/2006,6/15/2006
409,ST 四通,1,6/30/2006,7/3/2006
409,ST 四通,1,7/12/2006,7/12/2006
409,ST 四通,1,7/28/2006,9/26/2006
409,ST 四通,1,8/4/2006,8/7/2006
409,ST 四通,1,8/16/2006,8/17/2006
409,ST 泰格,1,10/25/2006,10/25/2006
409,ST 泰格,1,1/24/2007,1/25/2007
409,ST 泰格,1,1/25/2007,1/25/2007
409,ST 泰格,1,3/6/2007,3/6/2007
409,ST 泰格,1,3/13/2007,3/13/2007
409,ST 泰格,1,3/29/2007,3/29/2007
409,ST 泰格,1,4/27/2007,4/27/2007
409,ST 泰格,1,5/11/2007,5/11/2007
409,ST 泰格,1,5/18/2007,5/21/2007
409,ST 泰格,1,5/24/2007,5/24/2007
409,ST 泰格,1,6/4/2007,6/4/2007
409,ST 泰格,1,6/7/2007,6/7/2007
409,ST 泰格,1,6/18/2007,6/18/2007
409,ST 泰格,1,6/21/2007,7/18/2007
409,ST 泰格,1,7/18/2007,7/18/2007
409,ST 泰格,1,7/23/2007,7/23/2007
409,ST 泰格,1,8/13/2007,8/13/2007
409,ST 泰格,1,8/23/2007,8/23/2007
409,ST 泰格,1,8/29/2007,8/29/2007
409,ST 泰格,1,8/30/2007,8/30/2007
409,ST 泰格,1,9/20/2007,9/21/2007
409,ST 泰格,1,9/27/2007,9/27/2007
409,ST 泰格,1,10/11/2007,10/11/2007
409,ST 泰格,1,10/31/2007,10/31/2007
409,ST 泰格,1,11/7/2007,2/20/2008
409,ST 泰格,1,2/20/2008,2/20/2008
409,ST 泰格,1,2/25/2008,2/25/2008
409,ST 泰格,1,2/28/2008,2/28/2008
409,ST 泰格,1,2/29/2008,5/29/2008
409,*ST 泰格,1,5/29/2008,5/29/2008
409,*ST 泰格,1,6/3/2008,6/3/2008
409,*ST 泰格,1,6/13/2008,6/13/2008
409,*ST 泰格,1,6/18/2008,6/18/2008
409,*ST 泰格,1,6/26/2008,6/26/2008
409,*ST 泰格,1,7/1/2008,7/1/2008
409,*ST 泰格,1,8/5/2008,8/6/2008
409,*ST 泰格,1,8/11/2008,8/11/2008
409,*ST 泰格,1,8/19/2008,8/19/2008
409,*ST 泰格,1,8/28/2008,9/11/2008
409,*ST 泰格,1,9/11/2008,9/11/2008
409,*ST 泰格,1,9/17/2008,9/17/2008
409,*ST 泰格,1,9/22/2008,9/22/2008
409,*ST 泰格,1,9/25/2008,9/25/2008
409,*ST 泰格,1,10/7/2008,10/7/2008
409,*ST 泰格,1,10/10/2008,10/10/2008
409,*ST 泰格,1,10/15/2008,10/15/2008
409,*ST 泰格,1,10/20/2008,10/20/2008
409,*ST 泰格,1,10/28/2008,10/28/2008
409,*ST 泰格,1,10/31/2008,10/31/2008
409,*ST 泰格,1,11/13/2008,11/13/2008
409,*ST 泰格,1,11/18/2008,11/18/2008
409,*ST 泰格,1,11/21/2008,11/21/2008
409,*ST 泰格,1,11/25/2008,11/25/2008
409,*ST 泰格,1,11/28/2008,11/28/2008
409,*ST 泰格,1,12/11/2008,12/11/2008
409,*ST 泰格,1,12/24/2008,12/24/2008
409,*ST 泰格,1,2/27/2009,2/27/2009
409,*ST 泰格,1,4/10/2009,4/10/2009
