Stkcd,Stknme,Listdt,Favaldt
10,美丽生态,1995/10/27,1995/10/27
49,德赛电池,1995/3/20,1995/3/20
50,深天马A,1995/3/15,1995/3/15
55,方大集团,1996/4/15,1996/4/15
56,皇庭国际,1996/7/8,1996/7/8
58,深赛格,1996/12/26,1996/12/26
59,华锦股份,1997/1/30,1997/1/30
60,中金岭南,1997/1/23,1997/1/23
61,农产品,1997/1/10,1997/1/10
62,深圳华强,1997/1/30,1997/1/30
63,中兴通讯,1997/11/18,1997/11/18
65,北方国际,1998/6/5,1998/6/5
66,中国长城,1997/6/26,1997/6/26
68,华控赛格,1997/6/11,1997/6/11
69,华侨城A,1997/9/10,1997/9/10
70,特发信息,2000/5/11,2000/5/11
78,海王生物,1998/12/18,1998/12/18
88,盐田港,1997/7/28,1997/7/28
89,深圳机场,1998/4/20,1998/4/20
90,天健集团,1999/7/21,1999/7/21
96,广聚能源,2000/7/24,2000/7/24
99,中信海直,2000/7/31,2000/7/31
100,TCL集团,2004/1/30,2004/1/30
150,宜华健康,2000/8/7,2000/8/7
151,中成股份,2000/9/6,2000/9/6
153,丰原药业,2000/9/20,2000/9/20
155,川化股份,2000/9/26,2000/9/26
156,华数传媒,2000/9/6,2000/9/6
157,中联重科,2000/10/12,2000/10/12
158,常山北明,2000/7/24,2000/7/24
159,国际实业,2000/9/26,2000/9/26
166,申万宏源,2015/1/26,2015/1/26
301,东方市场,2000/5/29,2000/5/29
333,美的集团,2013/9/18,2013/9/18
338,潍柴动力,2007/4/30,2007/4/30
400,许继电气,1997/4/18,1997/4/18
401,冀东水泥,1996/6/14,1996/6/14
402,金融街,1996/6/26,1996/6/26
403,ST 生化,1996/6/28,1996/6/28
404,华意压缩,1996/6/19,1996/6/19
405,ST 鑫光,1996/6/20,1996/6/20
406,石油大明,1996/6/28,1996/6/28
407,胜利股份,1996/7/3,1996/7/3
408,藏格控股,1996/6/28,1996/6/28
409,山东地矿,1996/6/27,1996/6/27
410,沈阳机床,1996/7/18,1996/7/18
411,英特集团,1996/7/16,1996/7/16
412,ST 五环,1996/7/15,1996/7/15
413,东旭光电,1996/9/25,1996/9/25
415,渤海金控,1996/7/16,1996/7/16
416,民生控股,1996/7/19,1996/7/19
417,合肥百货,1996/8/12,1996/8/12
418,小天鹅A,1997/3/28,1997/3/28
419,通程控股,1996/8/16,1996/8/16
420,吉林化纤,1996/8/2,1996/8/2
421,南京公用,1996/8/6,1996/8/6
422,湖北宜化,1996/8/15,1996/8/15
423,东阿阿胶,1996/7/29,1996/7/29
425,徐工机械,1996/8/28,1996/8/28
426,兴业矿业,1996/8/28,1996/8/28
428,华天酒店,1996/8/8,1996/8/8
429,粤高速A,1998/2/20,1998/2/20
430,张家界,1996/8/29,1996/8/29
488,晨鸣纸业,2000/11/20,2000/11/20
498,山东路桥,1997/6/9,1997/6/9
578,盐湖集团,1995/3/3,1995/3/3
581,威孚高科,1998/9/24,1998/9/24
582,北部湾港,1995/11/2,1995/11/2
583,S*ST 托普,1995/11/1,1995/11/1
584,哈工智能,1995/11/28,1995/11/28
585,*ST 东电,1995/12/13,1995/12/13
586,汇源通信,1995/12/20,1995/12/20
587,金洲慈航,1996/4/25,1996/4/25
588,PT 粤金曼,1996/1/23,1996/1/23
589,黔轮胎A,1996/3/8,1996/3/8
590,启迪古汉,1996/1/19,1996/1/19
591,太阳能,1996/2/8,1996/2/8
592,平潭发展,1996/3/27,1996/3/27
593,大通燃气,1996/3/12,1996/3/12
594,国恒退,1996/3/20,1996/3/20
595,*ST 宝实,1996/4/19,1996/4/19
596,古井贡酒,1996/9/27,1996/9/27
597,东北制药,1996/5/23,1996/5/23
598,兴蓉环境,1996/5/29,1996/5/29
599,青岛双星,1996/4/30,1996/4/30
600,建投能源,1996/6/6,1996/6/6
601,韶能股份,1996/8/30,1996/8/30
602,金马集团,1996/8/19,1996/8/19
603,盛达矿业,1996/8/23,1996/8/23
605,渤海股份,1996/9/13,1996/9/13
606,神州易桥,1996/10/4,1996/10/4
