Stkcd,Trdynt,Yopnprc,Yclsprc,Ynshrtrd,Ysmvosd,Ysmvttl,Yretwd,Yretnd,Yarkettype
1,1995,10.5,6.43,274484190,2294553.81,3326125.61,-0.240559,-0.235115,4
1,1996,6.35,16.52,4684155849,11794205.94,17091009.31,4.138414,4.138414,4
1,1997,16.5,22.7,4156649954,24309486.21,35226928.99,1.073275,1.073245,4
1,1998,22.65,14.98,1057931901,16042119.09,23246669.44,-0.340088,-0.340088,4
1,1999,14.88,17.45,2623163795,18687248.21,27079731.76,0.197169,0.20494,4
1,2000,17.5,14.52,1816437188,20228171.57,28253337.6,-0.047441,-0.049068,4
1,2001,14.54,12.25,1260439320,17264684.07,23836321.33,-0.156336,-0.156336,4
1,2002,12.28,10.49,2186394543,14784207.01,20411674.34,-0.135145,-0.131429,4
1,2003,10.35,8.51,2113163441,11993670.32,16558946.49,-0.175335,-0.174452,4
1,2004,8.51,6.59,1783409887,9287695.35,12822967.96,-0.225617,-0.225617,4
1,2005,6.59,6.14,1836732966,8653482.47,11947347.99,-0.068285,-0.068285,4
1,2006,6.13,14.47,4601318282,20393467.63,28156046.5,1.356678,1.356678,4
1,2007,14.65,38.6,6635276829,67813273.19,88525515.8,1.935114,1.934969,4
1,2008,38.5,9.46,6180138282,26342370.22,29377403.39,-0.680418,-0.680531,4
1,2009,9.57,24.37,10173369859,71260664.59,75679420.78,1.57611,1.57611,4
1,2010,24.52,15.79,7311625122,49033610.89,55028367.3,-0.352072,-0.352072,4
1,2011,15.82,15.59,5714947128,48412541.7,79873032.99,-0.012666,-0.012666,4
1,2012,15.59,16.02,4286576838,49747835.51,82076073.66,0.035233,0.033996,4
1,2013,16.32,12.25,17715171071,68304797.97,100417668.2,0.235097,0.234082,4
1,2014,12.12,15.84,21455238348,155813520.5,180970333.4,0.57298,0.564735,4
1,2015,15.99,11.99,36620106027,141530614.4,171561026.9,-0.083704,-0.080682,4
1,2016,12,9.1,12636100958,133143741.5,156250743.4,-0.075692,-0.07648,4
1,2017,9.11,13.3,22581345389,225009262.4,228366471.2,0.482743,0.478901,4
2,1995,6.03,3.49,91172500,546997.55,781482.85,-0.309271,-0.306083,4
2,1996,3.48,10.47,1283167127,1812362.54,2578893.38,2.354973,2.340115,4
2,1997,10.41,14.11,1388058866,3472265.8,4941792.47,0.814972,0.724638,4
2,1998,14.1,8.44,355842906,2403714.56,3251566.35,-0.334292,-0.331396,4
